"-2.571734,31.905910,80.0,819.31,19.0",2025-05-11 10:32:31.583556
"-2.571734,31.905910,80.0,819.31,19.0",2025-05-11 10:32:41.600330
"-2.571734,31.905910,80.0,819.31,19.0",2025-05-11 10:32:51.617068
"-2.571734,31.905910,80.0,819.31,19.0",2025-05-11 10:33:01.634250
"-2.571734,31.905910,80.0,819.31,19.0",2025-05-11 10:33:11.650343
"-2.571734,31.905910,80.0,819.31,19.0",2025-05-11 10:33:21.667002
"-2.571734,31.905910,80.0,819.31,19.0",2025-05-11 10:33:31.683753
"-2.571734,31.905910,80.0,819.31,19.0",2025-05-11 10:33:41.701159
"-2.571734,31.905910,80.0,819.31,19.0",2025-05-11 10:33:51.717475
"-2.571734,31.905910,80.0,819.31,19.0",2025-05-11 10:34:01.732106
