-2.27769340,32.03089975,1030.08,1669811907,0.0,167.4,---
-2.36437563,32.07748499,979.39,166981313,0.0,167.4,---
-2.36940650,32.07818336,976.88,1669813209,6.9,28
-2.38487322,32.08199178,974.15,1669813428,4.9,264.9,---
-2.40609349,32.08942492,976.34,1669813794,8.1,300.0,---
-2.42314136,32.08683443,978.01,1669813939,17.5,286.0,
-2.44787194,32.09621030,980.64,1669814082,19.6,296.2,---
-2.46640798,32.09118260,965.02,1669814226,9.4,257.6,---
-2.47081114,32.08919612,968.88,1669814372,0.0,165.8,---
-2.56449998,32.08992213,979.77,1669815760,0.1,187.5,---
-2.56493850,32.08969190,977.69,1669815908,5.9,246.4,---
-2.61366253,32.05529047,937.59,1669816558,0.1,77.3,---
-2.61366325,32.05530746,932.27,1669816705,0.1,89.0,---
-2.62866085,32.02541681,889.39,1669817288,0,0.0,167.4,---
-2.62863938,32.02540535,886.25,1669817435,0.1,331.4,---
-2.63252492,32.02299441,883.79,1669817508,13.9,223.1,---
-2.65869598,31.97201955,844.12,1669818013,10.8,230.7,
-2.70081674,31.94233519,819.40,1669818667,0.0,167.4,---
-2.69396966,31.91913254,803.63,1669819179,0.1,50.4,---
-2.69397686,31.91911182,789.02,1669819551,0.0,344.2,---
-2.69401803,31.91909618,801.75,1669819993,0.0,8.9,---
-2.69396606,31.91912656,800.42,1669820583,0.0,15.5,---
-2.57173480,31.90591060,819.31,1669821898,19.0,80.0,---
